Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReactivePlayer,-3030,5,0.866802,0.396840,0.099227,4,0,4,true,1
ReactivePlayer,-100298,5,0.333879,0.985041,0.700439,100,100,0,false,0
ReactivePlayer,-1435,5,0.145475,0.349042,0.014135,2,0,2,true,1
ReactivePlayer,-21,5,0.682703,0.641455,0.674534,1,0,1,true,1
ReactivePlayer,982,5,0.155326,0.570040,0.274011,0,0,0,true,1
ReactivePlayer,1000,5,0.389489,0.294252,0.805819,0,0,0,true,1
ReactivePlayer,1000,5,0.537824,0.231070,0.791600,0,0,0,true,1
ReactivePlayer,-1022,5,0.592467,0.355699,0.111681,2,0,2,true,1
ReactivePlayer,-1010,5,0.785673,0.664711,0.720367,2,2,0,true,1
ReactivePlayer,-4,5,0.945405,0.597591,0.586127,1,0,1,true,1
ReactivePlayer,-93573,5,0.923611,0.711082,0.756614,94,90,4,true,1
ReactivePlayer,990,5,0.670695,0.443432,0.192102,0,0,0,true,1
ReactivePlayer,-3008,5,0.496077,0.096906,0.971100,4,3,1,true,1
ReactivePlayer,-11126,5,0.501965,0.309702,0.904019,12,12,0,true,1
ReactivePlayer,989,5,0.377315,0.329842,0.303529,0,0,0,true,1
ReactivePlayer,-100512,5,0.338397,0.640322,0.821814,100,99,1,false,0
ReactivePlayer,-8073,5,0.630504,0.452425,0.888741,9,4,5,true,1
ReactivePlayer,-100229,5,0.151155,0.252726,0.949313,100,100,0,false,0
ReactivePlayer,-2069,5,0.747970,0.125005,0.640663,3,1,2,true,1
ReactivePlayer,-34267,5,0.014185,0.121429,0.624923,35,35,0,true,1
ReactivePlayer,-22213,5,0.789105,0.275147,0.386518,23,13,10,true,1
ReactivePlayer,-2103,5,0.285289,0.106416,0.097628,3,0,3,true,1
ReactivePlayer,-8140,5,0.740075,0.576221,0.316641,9,7,2,true,1
ReactivePlayer,-41593,5,0.131079,0.089237,0.376597,42,41,1,true,1
ReactivePlayer,-10135,5,0.503276,0.399198,0.450983,11,8,3,true,1
ReactivePlayer,1000,5,0.197985,0.819029,0.253185,0,0,0,true,1
ReactivePlayer,-2159,5,0.297285,0.451722,0.187657,3,0,3,true,1
ReactivePlayer,-100000,5,0.192064,0.662671,0.539077,99,99,0,false,0
ReactivePlayer,1000,5,0.531952,0.894970,0.117131,0,0,0,true,1
ReactivePlayer,-100745,5,0.088388,0.676235,0.807336,100,100,0,false,0
