Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int,WumpusKilled,RoomsExplored
ReactivePlayer,-75793,25,0.300000,0.300000,0.300000,76,62,14,true,1,14,199
ReactivePlayer,-96522,25,0.300000,0.300000,0.300000,96,82,14,true,1,14,297
ReactivePlayer,-100235,25,0.300000,0.300000,0.300000,99,88,11,false,0,11,213
ReactivePlayer,-58500,25,0.300000,0.300000,0.300000,59,47,12,true,1,12,157
ReactivePlayer,-100318,25,0.300000,0.300000,0.300000,99,84,15,false,0,15,226
ReactivePlayer,-100214,25,0.300000,0.300000,0.300000,99,77,22,false,0,22,277
ReactivePlayer,-100278,25,0.300000,0.300000,0.300000,99,73,26,false,0,26,365
ReactivePlayer,-45314,25,0.300000,0.300000,0.300000,46,40,6,true,1,6,82
ReactivePlayer,-3046,25,0.300000,0.300000,0.300000,4,1,3,true,1,3,27
ReactivePlayer,-16179,25,0.300000,0.300000,0.300000,17,14,3,true,1,3,49
ReactivePlayer,-32598,25,0.300000,0.300000,0.300000,33,21,12,true,1,12,167
ReactivePlayer,-100246,25,0.300000,0.300000,0.300000,99,79,20,false,0,20,260
ReactivePlayer,-3075,25,0.300000,0.300000,0.300000,4,2,2,true,1,2,29
ReactivePlayer,-100229,25,0.300000,0.300000,0.300000,99,77,22,false,0,22,314
ReactivePlayer,-100901,25,0.300000,0.300000,0.300000,100,84,16,false,0,16,264
ReactivePlayer,-100934,25,0.300000,0.300000,0.300000,100,89,11,false,0,11,255
ReactivePlayer,-100497,25,0.300000,0.300000,0.300000,99,81,18,false,0,18,269
ReactivePlayer,-100436,25,0.300000,0.300000,0.300000,99,79,20,false,0,20,299
ReactivePlayer,-65150,25,0.300000,0.300000,0.300000,65,55,10,true,1,10,221
ReactivePlayer,-13085,25,0.300000,0.300000,0.300000,14,5,9,true,1,9,44
ReactivePlayer,-100307,25,0.300000,0.300000,0.300000,99,86,13,false,0,13,238
ReactivePlayer,-16337,25,0.300000,0.300000,0.300000,17,9,8,true,1,8,100
ReactivePlayer,-100071,25,0.300000,0.300000,0.300000,98,66,32,false,0,32,364
ReactivePlayer,-100103,25,0.300000,0.300000,0.300000,99,73,26,false,0,26,241
ReactivePlayer,-32498,25,0.300000,0.300000,0.300000,33,23,10,true,1,10,142
ReactivePlayer,-100940,25,0.300000,0.300000,0.300000,100,80,20,false,0,20,287
ReactivePlayer,-100270,25,0.300000,0.300000,0.300000,99,82,17,false,0,17,236
ReactivePlayer,-45622,25,0.300000,0.300000,0.300000,46,34,12,true,1,12,166
ReactivePlayer,-100979,25,0.300000,0.300000,0.300000,100,84,16,false,0,16,210
ReactivePlayer,-2068,25,0.300000,0.300000,0.300000,3,3,0,true,1,0,22
ReactivePlayer,-100735,25,0.300000,0.300000,0.300000,100,83,17,false,0,17,188
ReactivePlayer,-81961,25,0.300000,0.300000,0.300000,82,68,14,true,1,14,187
ReactivePlayer,-100257,25,0.300000,0.300000,0.300000,99,80,19,false,0,19,252
ReactivePlayer,-58459,25,0.300000,0.300000,0.300000,59,50,9,true,1,9,153
ReactivePlayer,-100491,25,0.300000,0.300000,0.300000,99,90,9,false,0,9,167
ReactivePlayer,-100507,25,0.300000,0.300000,0.300000,99,81,18,false,0,18,274
ReactivePlayer,-100544,25,0.300000,0.300000,0.300000,99,81,18,false,0,18,275
ReactivePlayer,-100037,25,0.300000,0.300000,0.300000,99,76,23,false,0,23,224
ReactivePlayer,-100606,25,0.300000,0.300000,0.300000,99,87,12,false,0,12,221
ReactivePlayer,-100442,25,0.300000,0.300000,0.300000,99,74,25,false,0,25,304
ReactivePlayer,-100680,25,0.300000,0.300000,0.300000,99,71,28,false,0,28,300
