Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReactivePlayer,-26458,15,0.086808,0.366461,0.373059,27,25,2,true,1
ReactivePlayer,-33587,15,0.473627,0.811794,0.080518,33,22,11,true,1
ReactivePlayer,-100604,15,0.396688,0.712459,0.899614,100,98,2,false,0
ReactivePlayer,-67073,15,0.622839,0.233335,0.020926,65,7,58,true,1
ReactivePlayer,-20081,15,0.630117,0.411737,0.930634,21,15,6,true,1
ReactivePlayer,-100490,15,0.120097,0.698107,0.758895,99,99,0,false,0
ReactivePlayer,-100293,15,0.086866,0.465716,0.399663,99,99,0,false,0
ReactivePlayer,-100297,15,0.364856,0.764185,0.933736,100,98,2,false,0
ReactivePlayer,-100594,15,0.999728,0.862535,0.386274,100,75,25,false,0
ReactivePlayer,-100594,15,0.020246,0.999842,0.284149,100,100,0,false,0
ReactivePlayer,-26204,15,0.552724,0.086007,0.240772,27,14,13,true,1
ReactivePlayer,-100310,15,0.488107,0.121346,0.665006,100,88,12,false,0
ReactivePlayer,-57645,15,0.646804,0.649749,0.484852,58,36,22,true,1
ReactivePlayer,-100463,15,0.751991,0.946834,0.893505,100,82,18,false,0
ReactivePlayer,-100225,15,0.699764,0.285692,0.891923,100,99,1,false,0
ReactivePlayer,-92262,15,0.023886,0.013120,0.752437,93,92,1,true,1
ReactivePlayer,-100026,15,0.329831,0.098866,0.376476,99,81,18,false,0
ReactivePlayer,-26246,15,0.949137,0.994109,0.281617,27,19,8,true,1
ReactivePlayer,-95305,15,0.736922,0.465114,0.018624,95,29,66,true,1
ReactivePlayer,-100728,15,0.005145,0.251243,0.369014,100,100,0,false,0
ReactivePlayer,-34435,15,0.998005,0.989315,0.082083,35,17,18,true,1
ReactivePlayer,-100249,15,0.920048,0.880284,0.060840,98,27,71,false,0
ReactivePlayer,-14283,15,0.103894,0.862062,0.100080,14,8,6,true,1
ReactivePlayer,-100140,15,0.044208,0.671662,0.004446,99,99,0,false,0
ReactivePlayer,-22182,15,0.139025,0.215167,0.586824,23,23,0,true,1
ReactivePlayer,-100290,15,0.345649,0.134652,0.938246,100,96,4,false,0
ReactivePlayer,-100001,15,0.532522,0.953081,0.249832,97,94,3,false,0
ReactivePlayer,-102,15,0.145942,0.544253,0.177427,1,0,1,true,1
ReactivePlayer,-100763,15,0.261885,0.259578,0.532174,100,97,3,false,0
ReactivePlayer,-25189,15,0.549919,0.233827,0.000470,26,0,26,true,1
ReactivePlayer,-100808,15,0.477796,0.887871,0.189780,95,77,18,false,0
ReactivePlayer,-100191,15,0.294923,0.690444,0.716768,98,97,1,false,0
ReactivePlayer,-65408,15,0.432392,0.137715,0.427862,66,54,12,true,1
ReactivePlayer,-100383,15,0.106491,0.512188,0.846105,100,98,2,false,0
ReactivePlayer,-100300,15,0.260487,0.414736,0.887086,100,100,0,false,0
ReactivePlayer,-49717,15,0.610031,0.790410,0.232474,50,38,12,true,1
ReactivePlayer,-49900,15,0.994890,0.624055,0.723679,50,30,20,true,1
ReactivePlayer,-100890,15,0.034270,0.802389,0.372741,100,100,0,false,0
ReactivePlayer,-100389,15,0.838612,0.650573,0.891761,100,90,10,false,0
ReactivePlayer,-100309,15,0.833534,0.092921,0.699571,100,86,14,false,0
ReactivePlayer,-100469,15,0.798301,0.459837,0.968934,100,83,17,false,0
ReactivePlayer,-100374,15,0.542984,0.623062,0.811880,100,94,6,false,0
ReactivePlayer,-100128,15,0.168885,0.163147,0.909828,100,100,0,false,0
ReactivePlayer,-100522,15,0.614089,0.941177,0.598029,99,87,12,false,0
ReactivePlayer,-100636,15,0.397880,0.835054,0.643734,100,91,9,false,0
ReactivePlayer,993,15,0.216307,0.540385,0.109842,0,0,0,true,1
ReactivePlayer,-100494,15,0.632005,0.166401,0.612751,100,86,14,false,0
