Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReasoningPlayer,-23214,10,0.411088,0.157072,0.683051,24,23,1,true,1
ReasoningPlayer,-100063,10,0.609569,0.015652,0.694502,99,92,7,false,0
ReasoningPlayer,-100079,10,0.368174,0.638833,0.853010,99,94,5,false,0
ReasoningPlayer,-97,10,0.110937,0.751625,0.031716,1,0,1,true,1
ReasoningPlayer,-100534,10,0.299240,0.158113,0.714898,99,93,6,false,0
ReasoningPlayer,-100449,10,0.171844,0.035689,0.955009,100,100,0,false,0
ReasoningPlayer,-100450,10,0.772120,0.823128,0.486836,98,86,12,false,0
ReasoningPlayer,-5107,10,0.567911,0.127707,0.479622,6,6,0,true,1
ReasoningPlayer,-30551,10,0.350967,0.956226,0.448451,31,28,3,true,1
ReasoningPlayer,-5858,10,0.637883,0.658522,0.145879,6,0,6,true,1
ReasoningPlayer,-100008,10,0.172055,0.760461,0.637672,99,99,0,false,0
ReasoningPlayer,-100441,10,0.688452,0.284559,0.785988,99,90,9,false,0
ReasoningPlayer,-100541,10,0.292686,0.691720,0.890638,100,100,0,false,0
ReasoningPlayer,-9147,10,0.659535,0.007856,0.966056,10,8,2,true,1
ReasoningPlayer,-60,10,0.573629,0.506333,0.678231,1,0,1,true,1
ReasoningPlayer,-100000,10,0.121210,0.496261,0.752567,0,0,0,false,0
ReasoningPlayer,-37989,10,0.838141,0.769250,0.428384,38,24,14,true,1
ReasoningPlayer,-4262,10,0.708936,0.009463,0.342002,5,0,5,true,1
ReasoningPlayer,-100001,10,0.404607,0.875760,0.023812,6,0,6,false,0
ReasoningPlayer,-26951,10,0.415098,0.512622,0.502902,27,25,2,true,1
ReasoningPlayer,-100008,10,0.386312,0.845809,0.392064,99,99,0,false,0
ReasoningPlayer,-17758,10,0.743380,0.843331,0.478094,18,13,5,true,1
ReasoningPlayer,-1426,10,0.384130,0.076488,0.192545,2,1,1,true,1
ReasoningPlayer,1000,10,0.645860,0.913775,0.544406,0,0,0,true,1
ReasoningPlayer,-100627,10,0.030914,0.214218,0.609150,100,100,0,false,0
ReasoningPlayer,-67542,10,0.745685,0.574630,0.438532,67,55,12,true,1
ReasoningPlayer,-100268,10,0.867059,0.459654,0.904839,99,84,15,false,0
ReasoningPlayer,-73650,10,0.492383,0.058548,0.237734,72,49,23,true,1
ReasoningPlayer,-48685,10,0.993892,0.118081,0.335363,48,27,21,true,1
ReasoningPlayer,-100582,10,0.290772,0.649127,0.487166,100,100,0,false,0
ReasoningPlayer,-648,10,0.045835,0.525959,0.074643,1,1,0,true,1
ReasoningPlayer,-100602,10,0.023361,0.097894,0.642525,100,100,0,false,0
ReasoningPlayer,817,10,0.096270,0.636744,0.217206,0,0,0,true,1
ReasoningPlayer,-33044,10,0.782349,0.220913,0.545442,33,20,13,true,1
ReasoningPlayer,-37099,10,0.940104,0.349766,0.608646,37,22,15,true,1
ReasoningPlayer,-17020,10,0.619926,0.353751,0.264274,17,3,14,true,1
ReasoningPlayer,-12524,10,0.724466,0.975044,0.050164,13,2,11,true,1
ReasoningPlayer,-100596,10,0.090506,0.906284,0.356204,99,99,0,false,0
ReasoningPlayer,-35916,10,0.495989,0.201755,0.336739,35,23,12,true,1
ReasoningPlayer,-100534,10,0.718673,0.036600,0.376484,98,77,21,false,0
ReasoningPlayer,-39,10,0.938645,0.282715,0.050886,1,0,1,true,1
ReasoningPlayer,-100832,10,0.001690,0.527357,0.262386,99,99,0,false,0
ReasoningPlayer,-12534,10,0.352231,0.362646,0.148050,12,3,9,true,1
ReasoningPlayer,-100000,10,0.412025,0.791514,0.335440,1,0,1,false,0
ReasoningPlayer,-4216,10,0.901908,0.512078,0.159586,5,0,5,true,1
ReasoningPlayer,-100716,10,0.166942,0.722439,0.924646,100,99,1,false,0
ReasoningPlayer,-100510,10,0.909504,0.926181,0.501593,98,93,5,false,0
ReasoningPlayer,-100790,10,0.389200,0.922932,0.641839,99,93,6,false,0
ReasoningPlayer,-100266,10,0.685103,0.300187,0.530447,98,78,20,false,0
ReasoningPlayer,-100155,10,0.102435,0.957448,0.810815,99,99,0,false,0
ReasoningPlayer,-1080,10,0.262095,0.788967,0.919043,2,2,0,true,1
ReasoningPlayer,-3160,10,0.241043,0.352414,0.434180,4,3,1,true,1
ReasoningPlayer,-56609,10,0.721764,0.432906,0.853205,57,53,4,true,1
ReasoningPlayer,-100924,10,0.258295,0.473619,0.892537,100,98,2,false,0
ReasoningPlayer,-18412,10,0.317725,0.017945,0.849375,19,16,3,true,1
ReasoningPlayer,-37704,10,0.785823,0.411540,0.623245,38,29,9,true,1
ReasoningPlayer,-29694,10,0.751146,0.113411,0.478152,29,12,17,true,1
ReasoningPlayer,-100043,10,0.227298,0.051471,0.680799,99,96,3,false,0
ReasoningPlayer,-100597,10,0.041616,0.373160,0.421082,100,100,0,false,0
ReasoningPlayer,-100302,10,0.800583,0.463689,0.995138,100,99,1,false,0
ReasoningPlayer,-100329,10,0.994586,0.016416,0.489688,100,99,1,false,0
ReasoningPlayer,1000,10,0.814518,0.159483,0.522065,0,0,0,true,1
ReasoningPlayer,-100000,10,0.215061,0.944185,0.067425,0,0,0,false,0
