Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReactivePlayer,-10126,20,0.103809,0.646701,0.466395,11,11,0,true,1
ReactivePlayer,-100519,20,0.275998,0.850472,0.509033,100,91,9,false,0
ReactivePlayer,-100320,20,0.921734,0.562804,0.115166,99,42,57,false,0
ReactivePlayer,-91795,20,0.981753,0.421162,0.131485,92,42,50,true,1
ReactivePlayer,-100472,20,0.795127,0.477907,0.689692,100,81,19,false,0
ReactivePlayer,-100436,20,0.372664,0.333876,0.648222,100,99,1,false,0
ReactivePlayer,-100533,20,0.686220,0.082555,0.356910,100,55,45,false,0
ReactivePlayer,-27915,20,0.432151,0.067931,0.039076,28,0,28,true,1
ReactivePlayer,-100337,20,0.444349,0.107392,0.600942,100,94,6,false,0
ReactivePlayer,-76207,20,0.308691,0.306815,0.936427,77,73,4,true,1
ReactivePlayer,962,20,0.629646,0.982626,0.237242,0,0,0,true,1
ReactivePlayer,-100445,20,0.185387,0.776779,0.795977,100,99,1,false,0
ReactivePlayer,-4072,20,0.474034,0.873535,0.762064,5,2,3,true,1
ReactivePlayer,-100328,20,0.744369,0.029918,0.600943,100,80,20,false,0
ReactivePlayer,-100317,20,0.599340,0.380199,0.616035,100,98,2,false,0
ReactivePlayer,-100348,20,0.197436,0.460429,0.944130,100,100,0,false,0
ReactivePlayer,-100696,20,0.522272,0.737620,0.178532,96,55,41,false,0
ReactivePlayer,-100561,20,0.867403,0.702514,0.674854,100,92,8,false,0
ReactivePlayer,-100315,20,0.704805,0.466637,0.857450,100,93,7,false,0
ReactivePlayer,-100710,20,0.461240,0.828788,0.845189,100,100,0,false,0
ReactivePlayer,-48705,20,0.007766,0.041249,0.126736,48,48,0,true,1
ReactivePlayer,-100353,20,0.113790,0.906995,0.033341,75,70,5,false,0
ReactivePlayer,-100432,20,0.411417,0.048015,0.655990,100,87,13,false,0
ReactivePlayer,-100977,20,0.246942,0.922799,0.211331,99,94,5,false,0
