Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReasoningPlayer,-100778,25,0.717016,0.914741,0.891229,99,90,9,false,0
ReasoningPlayer,-100460,25,0.961174,0.456644,0.925062,99,84,15,false,0
ReasoningPlayer,-100747,25,0.173402,0.557923,0.225956,96,91,5,false,0
ReasoningPlayer,-100388,25,0.926846,0.928725,0.969076,99,90,9,false,0
ReasoningPlayer,-21145,25,0.656615,0.657718,0.533945,21,12,9,true,1
ReasoningPlayer,-514,25,0.185588,0.041421,0.055881,1,0,1,true,1
ReasoningPlayer,-100000,25,0.413318,0.937426,0.239260,97,95,2,false,0
ReasoningPlayer,-981,25,0.130928,0.440651,0.298697,0,0,0,true,1
ReasoningPlayer,-100214,25,0.035283,0.047380,0.250072,95,90,5,false,0
ReasoningPlayer,-49790,25,0.100249,0.396801,0.247390,46,38,8,true,1
ReasoningPlayer,-100778,25,0.935574,0.379007,0.652235,98,67,31,false,0
ReasoningPlayer,-100060,25,0.565044,0.346848,0.984939,99,94,5,false,0
ReasoningPlayer,-100375,25,0.738695,0.191902,0.947780,99,87,12,false,0
ReasoningPlayer,-100915,25,0.639376,0.313113,0.041912,94,23,71,false,0
ReasoningPlayer,-100669,25,0.993957,0.192523,0.702560,98,63,35,false,0
ReasoningPlayer,-100148,25,0.533543,0.606872,0.563339,98,93,5,false,0
ReasoningPlayer,-32091,25,0.381273,0.057967,0.175027,30,13,17,true,1
ReasoningPlayer,-5192,25,0.861583,0.905092,0.434358,6,2,4,true,1
ReasoningPlayer,-5985,25,0.395925,0.489659,0.008407,6,0,6,true,1
ReasoningPlayer,-100858,25,0.466818,0.187994,0.600990,99,90,9,false,0
ReasoningPlayer,-100132,25,0.874398,0.312212,0.647755,98,73,25,false,0
ReasoningPlayer,-100017,25,0.152033,0.426241,0.744131,99,98,1,false,0
ReasoningPlayer,-100503,25,0.205113,0.926603,0.855146,100,100,0,false,0
ReasoningPlayer,-100921,25,0.555457,0.138405,0.334075,98,85,13,false,0
ReasoningPlayer,-100543,25,0.500483,0.280455,0.650907,99,93,6,false,0
ReasoningPlayer,-100126,25,0.487090,0.627927,0.137077,92,65,27,false,0
ReasoningPlayer,-100306,25,0.781776,0.049768,0.613460,99,81,18,false,0
ReasoningPlayer,-100832,25,0.591096,0.526947,0.614037,99,93,6,false,0
ReasoningPlayer,-100571,25,0.534252,0.225963,0.679291,99,93,6,false,0
ReasoningPlayer,-100343,25,0.909510,0.191822,0.665708,100,99,1,false,0
ReasoningPlayer,-41,25,0.062384,0.981481,0.148581,1,0,1,true,1
ReasoningPlayer,-100199,25,0.142978,0.028517,0.581930,99,95,4,false,0
ReasoningPlayer,-100769,25,0.445746,0.930244,0.319130,99,96,3,false,0
ReasoningPlayer,-92936,25,0.410045,0.288792,0.259463,87,51,36,true,1
ReasoningPlayer,891,25,0.644628,0.511627,0.136023,0,0,0,true,1
ReasoningPlayer,-22434,25,0.543933,0.630589,0.100819,21,5,16,true,1
ReasoningPlayer,-100039,25,0.306495,0.685842,0.098642,89,73,16,false,0
ReasoningPlayer,-712,25,0.302984,0.435451,0.003932,0,0,0,true,1
ReasoningPlayer,-100000,25,0.002866,0.834140,0.848597,0,0,0,false,0
ReasoningPlayer,-100052,25,0.847991,0.726313,0.430208,98,79,19,false,0
ReasoningPlayer,-100416,25,0.200928,0.280313,0.857328,100,100,0,false,0
ReasoningPlayer,-100551,25,0.918444,0.531531,0.299009,95,66,29,false,0
ReasoningPlayer,-3674,25,0.011602,0.183770,0.222658,0,0,0,true,1
ReasoningPlayer,-100486,25,0.954043,0.743456,0.924323,99,89,10,false,0
ReasoningPlayer,-3775,25,0.219546,0.364065,0.098627,3,2,1,true,1
ReasoningPlayer,-2889,25,0.013385,0.266883,0.080611,0,0,0,true,1
ReasoningPlayer,-100099,25,0.900871,0.488969,0.848468,99,92,7,false,0
