Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int,WumpusKilled,RoomsExplored
ReactivePlayer,1000,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,0
ReactivePlayer,-79202,10,0.300000,0.300000,0.300000,79,70,9,true,1,9,98
ReactivePlayer,-7056,10,0.300000,0.300000,0.300000,8,5,3,true,1,3,23
ReactivePlayer,-16251,10,0.300000,0.300000,0.300000,17,13,4,true,1,4,67
ReactivePlayer,-13118,10,0.300000,0.300000,0.300000,14,12,2,true,1,2,46
ReactivePlayer,-10213,10,0.300000,0.300000,0.300000,11,7,4,true,1,4,57
ReactivePlayer,-10657,10,0.300000,0.300000,0.300000,11,8,3,true,1,3,51
ReactivePlayer,-6068,10,0.300000,0.300000,0.300000,7,2,5,true,1,5,34
ReactivePlayer,-7110,10,0.300000,0.300000,0.300000,8,5,3,true,1,3,46
ReactivePlayer,-3059,10,0.300000,0.300000,0.300000,4,1,3,true,1,3,28
ReactivePlayer,-31842,10,0.300000,0.300000,0.300000,32,26,6,true,1,6,68
ReactivePlayer,-42417,10,0.300000,0.300000,0.300000,43,41,2,true,1,2,54
ReactivePlayer,-3057,10,0.300000,0.300000,0.300000,4,3,1,true,1,1,30
ReactivePlayer,-4055,10,0.300000,0.300000,0.300000,5,2,3,true,1,3,26
ReactivePlayer,-68,10,0.300000,0.300000,0.300000,1,0,1,true,1,1,27
ReactivePlayer,-28590,10,0.300000,0.300000,0.300000,29,24,5,true,1,5,84
ReactivePlayer,-11100,10,0.300000,0.300000,0.300000,12,8,4,true,1,4,29
ReactivePlayer,-100743,10,0.300000,0.300000,0.300000,100,96,4,false,0,4,82
ReactivePlayer,-18246,10,0.300000,0.300000,0.300000,19,12,7,true,1,7,73
ReactivePlayer,-2013,10,0.300000,0.300000,0.300000,3,3,0,true,1,0,7
ReactivePlayer,-14312,10,0.300000,0.300000,0.300000,15,14,1,true,1,1,60
