Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int,WumpusKilled,RoomsExplored
ReasoningPlayer,-1575,20,0.300000,0.300000,0.300000,2,1,1,true,1,1,78
ReasoningPlayer,72,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,130
ReasoningPlayer,-100603,20,0.300000,0.300000,0.300000,97,87,10,false,0,10,184
ReasoningPlayer,-7984,20,0.300000,0.300000,0.300000,8,5,3,true,1,3,100
ReasoningPlayer,-26017,20,0.300000,0.300000,0.300000,25,21,4,true,1,4,166
ReasoningPlayer,-11673,20,0.300000,0.300000,0.300000,11,6,5,true,1,5,141
ReasoningPlayer,-17007,20,0.300000,0.300000,0.300000,16,12,4,true,1,4,194
ReasoningPlayer,-15547,20,0.300000,0.300000,0.300000,13,6,7,true,1,7,350
ReasoningPlayer,-100397,20,0.300000,0.300000,0.300000,95,81,14,false,0,15,292
ReasoningPlayer,-6703,20,0.300000,0.300000,0.300000,7,3,4,true,1,4,81
ReasoningPlayer,680,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,52
ReasoningPlayer,-17944,20,0.300000,0.300000,0.300000,16,8,8,true,1,9,276
ReasoningPlayer,-22750,20,0.300000,0.300000,0.300000,22,13,9,true,1,9,115
ReasoningPlayer,-100855,20,0.300000,0.300000,0.300000,94,72,22,false,0,23,351
ReasoningPlayer,-86539,20,0.300000,0.300000,0.300000,82,69,13,true,1,13,249
ReasoningPlayer,-5440,20,0.300000,0.300000,0.300000,5,2,3,true,1,4,148
ReasoningPlayer,-12463,20,0.300000,0.300000,0.300000,11,8,3,true,1,3,279
ReasoningPlayer,-87481,20,0.300000,0.300000,0.300000,84,69,15,true,1,15,281
ReasoningPlayer,374,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,83
ReasoningPlayer,-5882,20,0.300000,0.300000,0.300000,6,2,4,true,1,4,91
ReasoningPlayer,-42055,20,0.300000,0.300000,0.300000,38,25,13,true,1,13,333
ReasoningPlayer,-32331,20,0.300000,0.300000,0.300000,30,21,9,true,1,11,258
ReasoningPlayer,-100131,20,0.300000,0.300000,0.300000,96,87,9,false,0,10,212
ReasoningPlayer,-19512,20,0.300000,0.300000,0.300000,19,14,5,true,1,6,138
ReasoningPlayer,980,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,5
ReasoningPlayer,-4597,20,0.300000,0.300000,0.300000,5,2,3,true,1,3,71
ReasoningPlayer,-20051,20,0.300000,0.300000,0.300000,18,13,5,true,1,5,251
ReasoningPlayer,-34523,20,0.300000,0.300000,0.300000,32,19,13,true,1,14,270
ReasoningPlayer,-40181,20,0.300000,0.300000,0.300000,38,25,13,true,1,13,247
ReasoningPlayer,-100924,20,0.300000,0.300000,0.300000,95,69,26,false,0,28,337
ReasoningPlayer,-59146,20,0.300000,0.300000,0.300000,56,45,11,true,1,12,296
ReasoningPlayer,-24497,20,0.300000,0.300000,0.300000,22,17,5,true,1,5,286
ReasoningPlayer,-3277,20,0.300000,0.300000,0.300000,4,3,1,true,1,1,37
ReasoningPlayer,800,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,36
ReasoningPlayer,-188,20,0.300000,0.300000,0.300000,1,1,0,true,1,0,16
ReasoningPlayer,-24663,20,0.300000,0.300000,0.300000,24,18,6,true,1,6,181
ReasoningPlayer,912,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,26
ReasoningPlayer,-63874,20,0.300000,0.300000,0.300000,60,42,18,true,1,19,347
ReasoningPlayer,0,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,139
ReasoningPlayer,-60467,20,0.300000,0.300000,0.300000,57,47,10,true,1,10,254
ReasoningPlayer,904,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,21
ReasoningPlayer,-17073,20,0.300000,0.300000,0.300000,17,8,9,true,1,9,111
ReasoningPlayer,-11582,20,0.300000,0.300000,0.300000,11,8,3,true,1,3,140
ReasoningPlayer,-73595,20,0.300000,0.300000,0.300000,70,62,8,true,1,8,330
ReasoningPlayer,-69273,20,0.300000,0.300000,0.300000,66,47,19,true,1,20,329
ReasoningPlayer,-17730,20,0.300000,0.300000,0.300000,16,10,6,true,1,6,260
ReasoningPlayer,-2578,20,0.300000,0.300000,0.300000,3,1,2,true,1,2,57
ReasoningPlayer,-2000,20,0.300000,0.300000,0.300000,2,0,2,true,1,2,112
ReasoningPlayer,-100300,20,0.300000,0.300000,0.300000,95,77,18,false,0,18,251
ReasoningPlayer,999,20,0.300000,0.300000,0.300000,0,0,0,true,1,0,1
