Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int,WumpusKilled,RoomsExplored
ReasoningPlayer,-3383,10,0.300000,0.300000,0.300000,4,4,0,true,1,0,40
ReasoningPlayer,-222,10,0.300000,0.300000,0.300000,1,0,1,true,1,1,28
ReasoningPlayer,-3526,10,0.300000,0.300000,0.300000,4,4,0,true,1,0,59
ReasoningPlayer,983,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,2
ReasoningPlayer,576,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,45
ReasoningPlayer,-321,10,0.300000,0.300000,0.300000,1,1,0,true,1,0,38
ReasoningPlayer,-9919,10,0.300000,0.300000,0.300000,10,7,3,true,1,3,91
ReasoningPlayer,-16890,10,0.300000,0.300000,0.300000,17,12,5,true,1,5,51
ReasoningPlayer,-260,10,0.300000,0.300000,0.300000,1,0,1,true,1,1,37
ReasoningPlayer,1000,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,0
ReasoningPlayer,977,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,7
ReasoningPlayer,-26337,10,0.300000,0.300000,0.300000,26,24,2,true,1,2,91
ReasoningPlayer,865,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,21
ReasoningPlayer,-9702,10,0.300000,0.300000,0.300000,10,8,2,true,1,2,55
ReasoningPlayer,-4812,10,0.300000,0.300000,0.300000,5,5,0,true,1,0,85
ReasoningPlayer,839,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,25
ReasoningPlayer,-25235,10,0.300000,0.300000,0.300000,25,19,6,true,1,6,79
ReasoningPlayer,-6815,10,0.300000,0.300000,0.300000,7,1,6,true,1,6,77
ReasoningPlayer,-6737,10,0.300000,0.300000,0.300000,7,7,0,true,1,0,89
ReasoningPlayer,937,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,4
ReasoningPlayer,-4786,10,0.300000,0.300000,0.300000,5,4,1,true,1,1,83
ReasoningPlayer,976,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,7
ReasoningPlayer,-4225,10,0.300000,0.300000,0.300000,5,4,1,true,1,1,19
ReasoningPlayer,-3586,10,0.300000,0.300000,0.300000,4,3,1,true,1,1,63
ReasoningPlayer,-217,10,0.300000,0.300000,0.300000,1,0,1,true,1,1,30
ReasoningPlayer,730,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,39
ReasoningPlayer,-5806,10,0.300000,0.300000,0.300000,6,4,2,true,1,2,69
ReasoningPlayer,925,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,23
ReasoningPlayer,-78881,10,0.300000,0.300000,0.300000,78,76,2,true,1,2,75
ReasoningPlayer,466,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,61
ReasoningPlayer,-24450,10,0.300000,0.300000,0.300000,24,19,5,true,1,5,87
ReasoningPlayer,-1321,10,0.300000,0.300000,0.300000,2,1,1,true,1,1,32
ReasoningPlayer,812,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,33
ReasoningPlayer,-1271,10,0.300000,0.300000,0.300000,2,0,2,true,1,3,46
ReasoningPlayer,-19534,10,0.300000,0.300000,0.300000,20,18,2,true,1,2,38
ReasoningPlayer,928,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,17
ReasoningPlayer,668,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,61
ReasoningPlayer,830,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,28
ReasoningPlayer,-5432,10,0.300000,0.300000,0.300000,6,3,3,true,1,3,51
ReasoningPlayer,-3172,10,0.300000,0.300000,0.300000,4,1,3,true,1,3,16
ReasoningPlayer,-117,10,0.300000,0.300000,0.300000,1,0,1,true,1,1,11
ReasoningPlayer,853,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,26
ReasoningPlayer,-100000,10,0.300000,0.300000,0.300000,97,87,10,false,0,10,99
ReasoningPlayer,888,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,18
ReasoningPlayer,-1125,10,0.300000,0.300000,0.300000,2,1,1,true,1,1,13
ReasoningPlayer,-8721,10,0.300000,0.300000,0.300000,9,6,3,true,1,3,52
ReasoningPlayer,-34691,10,0.300000,0.300000,0.300000,34,30,4,true,1,4,91
ReasoningPlayer,610,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,42
ReasoningPlayer,-4649,10,0.300000,0.300000,0.300000,5,1,4,true,1,4,59
ReasoningPlayer,-7546,10,0.300000,0.300000,0.300000,8,3,5,true,1,5,50
ReasoningPlayer,-6863,10,0.300000,0.300000,0.300000,7,3,4,true,1,4,68
ReasoningPlayer,778,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,22
ReasoningPlayer,964,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,14
ReasoningPlayer,999,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,1
ReasoningPlayer,-1300,10,0.300000,0.300000,0.300000,2,0,2,true,1,2,28
ReasoningPlayer,-17838,10,0.300000,0.300000,0.300000,18,15,3,true,1,3,83
ReasoningPlayer,-8510,10,0.300000,0.300000,0.300000,9,5,4,true,1,4,33
ReasoningPlayer,-5945,10,0.300000,0.300000,0.300000,6,4,2,true,1,2,82
ReasoningPlayer,-5387,10,0.300000,0.300000,0.300000,6,5,1,true,1,1,35
ReasoningPlayer,-31051,10,0.300000,0.300000,0.300000,30,23,7,true,1,7,95
ReasoningPlayer,-3128,10,0.300000,0.300000,0.300000,4,2,2,true,1,2,12
ReasoningPlayer,-11069,10,0.300000,0.300000,0.300000,11,4,7,true,1,7,77
ReasoningPlayer,-15265,10,0.300000,0.300000,0.300000,15,6,9,true,1,9,85
ReasoningPlayer,-65072,10,0.300000,0.300000,0.300000,64,56,8,true,1,8,87
ReasoningPlayer,1000,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,0
ReasoningPlayer,-14180,10,0.300000,0.300000,0.300000,14,10,4,true,1,4,76
ReasoningPlayer,637,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,71
ReasoningPlayer,-1443,10,0.300000,0.300000,0.300000,2,1,1,true,1,1,48
ReasoningPlayer,-71944,10,0.300000,0.300000,0.300000,70,65,5,true,1,5,96
ReasoningPlayer,671,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,52
ReasoningPlayer,899,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,11
ReasoningPlayer,-37371,10,0.300000,0.300000,0.300000,37,29,8,true,1,10,80
ReasoningPlayer,-20603,10,0.300000,0.300000,0.300000,20,16,4,true,1,4,96
ReasoningPlayer,-12639,10,0.300000,0.300000,0.300000,13,11,2,true,1,2,50
ReasoningPlayer,997,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,3
ReasoningPlayer,964,10,0.300000,0.300000,0.300000,0,0,0,true,1,0,5
