Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReactivePlayer,-34378,10,0.893211,0.577045,0.013650,34,0,34,true,1
ReactivePlayer,-42865,10,0.943573,0.913779,0.442421,43,25,18,true,1
ReactivePlayer,-100865,10,0.913276,0.439851,0.523149,100,93,7,false,0
ReactivePlayer,-100287,10,0.278377,0.272252,0.960654,100,100,0,false,0
ReactivePlayer,963,10,0.083631,0.558508,0.332895,0,0,0,true,1
ReactivePlayer,-100600,10,0.219811,0.923020,0.422381,100,100,0,false,0
ReactivePlayer,-100371,10,0.860685,0.779171,0.767136,100,94,6,false,0
ReactivePlayer,-33430,10,0.839365,0.678419,0.015011,33,0,33,true,1
ReactivePlayer,-100483,10,0.140463,0.755333,0.566983,98,96,2,false,0
ReactivePlayer,-100672,10,0.106571,0.763614,0.753154,100,99,1,false,0
ReactivePlayer,-100817,10,0.419360,0.908213,0.793693,100,100,0,false,0
ReactivePlayer,-100236,10,0.083091,0.180015,0.845004,100,100,0,false,0
ReactivePlayer,-26241,10,0.477326,0.400648,0.153545,26,18,8,true,1
ReactivePlayer,-11,10,0.906078,0.415937,0.187129,1,0,1,true,1
ReactivePlayer,-59517,10,0.724498,0.400993,0.179051,60,45,15,true,1
ReactivePlayer,-13169,10,0.622093,0.394524,0.391321,14,8,6,true,1
ReactivePlayer,-100328,10,0.443729,0.627107,0.313505,99,91,8,false,0
ReactivePlayer,-22049,10,0.613077,0.186916,0.906622,23,15,8,true,1
ReactivePlayer,-100342,10,0.158119,0.265113,0.712342,100,100,0,false,0
ReactivePlayer,977,10,0.074512,0.294239,0.254475,0,0,0,true,1
ReactivePlayer,-2021,10,0.454754,0.373750,0.648880,3,2,1,true,1
ReactivePlayer,-23982,10,0.361753,0.571647,0.071892,24,16,8,true,1
ReactivePlayer,-100752,10,0.612875,0.317786,0.306282,100,80,20,false,0
ReactivePlayer,-100238,10,0.346486,0.597244,0.967663,100,99,1,false,0
ReactivePlayer,-100586,10,0.985674,0.362224,0.574224,100,79,21,false,0
ReactivePlayer,-97844,10,0.538769,0.303364,0.285586,97,81,16,true,1
ReactivePlayer,-38,10,0.048163,0.526706,0.229155,1,0,1,true,1
ReactivePlayer,-22113,10,0.182938,0.422028,0.866225,23,21,2,true,1
ReactivePlayer,-100473,10,0.486659,0.104482,0.651998,100,88,12,false,0
ReactivePlayer,-86942,10,0.863892,0.044340,0.169138,87,46,41,true,1
ReactivePlayer,-100001,10,0.415645,0.835021,0.476919,1,0,1,false,0
ReactivePlayer,-100024,10,0.134423,0.758449,0.509476,99,96,3,false,0
ReactivePlayer,-2130,10,0.371351,0.760539,0.328916,3,0,3,true,1
ReactivePlayer,-6412,10,0.049277,0.175229,0.259354,7,7,0,true,1
ReactivePlayer,998,10,0.864304,0.955493,0.015374,0,0,0,true,1
ReactivePlayer,-44745,10,0.256667,0.546997,0.232755,45,42,3,true,1
ReactivePlayer,-100642,10,0.050461,0.990057,0.215795,98,98,0,false,0
ReactivePlayer,-100300,10,0.926759,0.863954,0.914841,100,99,1,false,0
ReactivePlayer,-100323,10,0.186928,0.553482,0.252234,90,88,2,false,0
ReactivePlayer,-100816,10,0.497106,0.616330,0.998372,100,95,5,false,0
ReactivePlayer,-100295,10,0.517686,0.735465,0.917733,100,98,2,false,0
ReactivePlayer,-100257,10,0.179631,0.037657,0.872144,100,96,4,false,0
ReactivePlayer,-16108,10,0.740401,0.141733,0.447573,17,10,7,true,1
ReactivePlayer,-12096,10,0.829184,0.405818,0.273695,13,1,12,true,1
ReactivePlayer,-100271,10,0.250126,0.137029,0.504422,100,100,0,false,0
ReactivePlayer,-100605,10,0.031132,0.042343,0.510401,100,99,1,false,0
ReactivePlayer,-100334,10,0.561459,0.881992,0.838472,100,98,2,false,0
ReactivePlayer,-10076,10,0.770376,0.295311,0.192922,11,5,6,true,1
ReactivePlayer,-2128,10,0.158997,0.511719,0.012157,3,0,3,true,1
ReactivePlayer,-100564,10,0.426517,0.654738,0.771018,100,98,2,false,0
ReactivePlayer,610,10,0.107566,0.329317,0.039875,0,0,0,true,1
ReactivePlayer,-100621,10,0.963817,0.478647,0.756189,100,81,19,false,0
ReactivePlayer,-100219,10,0.018853,0.527934,0.889640,100,100,0,false,0
ReactivePlayer,-13643,10,0.398840,0.709522,0.035303,14,0,14,true,1
ReactivePlayer,-43652,10,0.979324,0.964509,0.788502,44,35,9,true,1
ReactivePlayer,-9489,10,0.016160,0.650383,0.285455,10,10,0,true,1
ReactivePlayer,888,10,0.214624,0.377068,0.038895,0,0,0,true,1
ReactivePlayer,-100973,10,0.430680,0.922461,0.088221,97,88,9,false,0
ReactivePlayer,-100967,10,0.126335,0.138417,0.320314,100,96,4,false,0
ReactivePlayer,-100437,10,0.765680,0.327017,0.791190,100,86,14,false,0
ReactivePlayer,-2062,10,0.775684,0.880615,0.060655,3,0,3,true,1
ReactivePlayer,-44189,10,0.714868,0.526111,0.590342,45,42,3,true,1
ReactivePlayer,-100339,10,0.402707,0.798926,0.614422,99,98,1,false,0
ReactivePlayer,-5,10,0.604879,0.394463,0.307208,1,0,1,true,1
ReactivePlayer,-17065,10,0.514789,0.077946,0.490310,18,16,2,true,1
ReactivePlayer,-36403,10,0.276815,0.089655,0.242769,37,29,8,true,1
ReactivePlayer,-100548,10,0.921380,0.087278,0.397443,100,73,27,false,0
ReactivePlayer,-100574,10,0.400762,0.462806,0.623052,100,96,4,false,0
ReactivePlayer,-100000,10,0.657118,0.915085,0.206040,0,0,0,false,0
ReactivePlayer,-45729,10,0.949380,0.368043,0.061285,46,13,33,true,1
ReactivePlayer,-50856,10,0.458227,0.574930,0.182200,51,30,21,true,1
ReactivePlayer,-3085,10,0.943673,0.817364,0.184176,4,0,4,true,1
ReactivePlayer,-100462,10,0.630751,0.198771,0.804983,100,93,7,false,0
ReactivePlayer,1000,10,0.188302,0.218005,0.876131,0,0,0,true,1
ReactivePlayer,-100617,10,0.177376,0.565481,0.713294,100,99,1,false,0
ReactivePlayer,-56749,10,0.712000,0.181857,0.239719,57,24,33,true,1
ReactivePlayer,-100772,10,0.694846,0.992762,0.576335,100,93,7,false,0
ReactivePlayer,-100173,10,0.681993,0.529653,0.342792,99,95,4,false,0
ReactivePlayer,-7476,10,0.188473,0.508264,0.009460,6,0,6,true,1
ReactivePlayer,-67559,10,0.065283,0.154970,0.595992,68,68,0,true,1
ReactivePlayer,-100654,10,0.805372,0.114811,0.751997,100,82,18,false,0
ReactivePlayer,-100466,10,0.644118,0.752228,0.386854,95,91,4,false,0
ReactivePlayer,-13086,10,0.904600,0.161033,0.728755,14,9,5,true,1
ReactivePlayer,-94300,10,0.772179,0.045865,0.580887,95,84,11,true,1
ReactivePlayer,-100665,10,0.560666,0.342922,0.985917,100,87,13,false,0
ReactivePlayer,-5150,10,0.580662,0.941230,0.112446,6,3,3,true,1
ReactivePlayer,-100000,10,0.846321,0.698724,0.837490,99,91,8,false,0
ReactivePlayer,999,10,0.042436,0.917219,0.040201,0,0,0,true,1
ReactivePlayer,-69575,10,0.230179,0.358437,0.502536,70,69,1,true,1
ReactivePlayer,-100164,10,0.195273,0.321520,0.778963,100,100,0,false,0
ReactivePlayer,-61526,10,0.432862,0.493615,0.537488,62,57,5,true,1
ReactivePlayer,-100000,10,0.963506,0.946095,0.371474,0,0,0,false,0
ReactivePlayer,-15159,10,0.749710,0.341219,0.062727,16,0,16,true,1
ReactivePlayer,-100375,10,0.937505,0.147125,0.494738,100,80,20,false,0
ReactivePlayer,-32267,10,0.415631,0.789249,0.098583,33,32,1,true,1
ReactivePlayer,-100677,10,0.442565,0.733475,0.754251,100,97,3,false,0
ReactivePlayer,-100100,10,0.165010,0.488616,0.822402,100,100,0,false,0
ReactivePlayer,-100486,10,0.508112,0.143359,0.788989,100,98,2,false,0
ReactivePlayer,-78050,10,0.942371,0.956343,0.654464,78,65,13,true,1
ReactivePlayer,-100791,10,0.423704,0.932558,0.857724,100,94,6,false,0
ReactivePlayer,-11050,10,0.323048,0.555110,0.304463,12,10,2,true,1
ReactivePlayer,-37231,10,0.413920,0.040516,0.204852,38,23,15,true,1
ReactivePlayer,-78435,10,0.791920,0.453435,0.149793,78,65,13,true,1
ReactivePlayer,-100285,10,0.287729,0.523891,0.397567,99,93,6,false,0
ReactivePlayer,-6791,10,0.646357,0.803480,0.069022,7,0,7,true,1
ReactivePlayer,-3043,10,0.411829,0.650749,0.506469,4,4,0,true,1
ReactivePlayer,-3056,10,0.090112,0.018378,0.475212,4,3,1,true,1
ReactivePlayer,-100420,10,0.948452,0.242214,0.973322,100,94,6,false,0
ReactivePlayer,-50942,10,0.580772,0.521025,0.249822,51,32,19,true,1
ReactivePlayer,-10739,10,0.397334,0.600915,0.012085,11,4,7,true,1
ReactivePlayer,-100292,10,0.806595,0.988829,0.394200,99,82,17,false,0
ReactivePlayer,-2,10,0.234555,0.055354,0.646026,1,0,1,true,1
ReactivePlayer,998,10,0.780471,0.485814,0.926571,0,0,0,true,1
ReactivePlayer,-100365,10,0.977541,0.214017,0.952756,99,99,0,false,0
ReactivePlayer,-100941,10,0.540335,0.990734,0.151882,98,90,8,false,0
ReactivePlayer,-100628,10,0.690049,0.209806,0.712830,100,90,10,false,0
ReactivePlayer,975,10,0.286662,0.468142,0.323380,0,0,0,true,1
ReactivePlayer,-100612,10,0.621930,0.130524,0.612761,100,87,13,false,0
ReactivePlayer,-100743,10,0.528358,0.543339,0.660791,100,87,13,false,0
ReactivePlayer,-67141,10,0.939061,0.190609,0.101198,67,27,40,true,1
ReactivePlayer,-43732,10,0.867350,0.021319,0.062771,44,12,32,true,1
ReactivePlayer,-59312,10,0.906253,0.078242,0.332984,60,30,30,true,1
ReactivePlayer,-14058,10,0.457767,0.407626,0.882200,15,14,1,true,1
ReactivePlayer,-100000,10,0.242106,0.994917,0.739815,0,0,0,false,0
ReactivePlayer,-10215,10,0.315515,0.453592,0.162724,11,7,4,true,1
ReactivePlayer,-100730,10,0.955694,0.735511,0.252463,99,76,23,false,0
ReactivePlayer,-76717,10,0.525353,0.752099,0.464025,77,70,7,true,1
ReactivePlayer,-17321,10,0.821200,0.389147,0.166692,18,4,14,true,1
ReactivePlayer,992,10,0.851687,0.979477,0.140990,0,0,0,true,1
ReactivePlayer,1000,10,0.753072,0.887417,0.926041,0,0,0,true,1
ReactivePlayer,-100160,10,0.272102,0.425695,0.857436,100,100,0,false,0
ReactivePlayer,-100742,10,0.950144,0.308847,0.506992,100,68,32,false,0
ReactivePlayer,-8109,10,0.844236,0.623947,0.486405,9,3,6,true,1
ReactivePlayer,-100509,10,0.506125,0.048328,0.687445,100,97,3,false,0
ReactivePlayer,-2035,10,0.021670,0.812150,0.014207,3,3,0,true,1
ReactivePlayer,-89346,10,0.693955,0.268463,0.793940,90,78,12,true,1
ReactivePlayer,-100708,10,0.846883,0.496873,0.871205,100,75,25,false,0
ReactivePlayer,-23150,10,0.765006,0.416436,0.827374,24,10,14,true,1
ReactivePlayer,-100413,10,0.272410,0.893474,0.365446,98,98,0,false,0
ReactivePlayer,-100496,10,0.537915,0.574893,0.415742,100,100,0,false,0
ReactivePlayer,-4017,10,0.457788,0.567834,0.811322,5,4,1,true,1
ReactivePlayer,-100271,10,0.446960,0.437143,0.325057,99,98,1,false,0
ReactivePlayer,-7865,10,0.131786,0.272264,0.099742,8,7,1,true,1
ReactivePlayer,-69017,10,0.971860,0.284269,0.249772,69,26,43,true,1
ReactivePlayer,-28289,10,0.728203,0.052811,0.033450,29,2,27,true,1
ReactivePlayer,-8419,10,0.359688,0.381994,0.009498,9,2,7,true,1
ReactivePlayer,-100353,10,0.840015,0.993404,0.794910,100,96,4,false,0
ReactivePlayer,-100249,10,0.389314,0.205642,0.792332,100,100,0,false,0
ReactivePlayer,-100295,10,0.791089,0.974522,0.578123,99,83,16,false,0
ReactivePlayer,-39330,10,0.218243,0.198489,0.633032,40,37,3,true,1
ReactivePlayer,-22142,10,0.606544,0.065257,0.212367,23,9,14,true,1
ReactivePlayer,-2052,10,0.423752,0.838257,0.308132,3,1,2,true,1
ReactivePlayer,-100426,10,0.041186,0.377076,0.657331,100,99,1,false,0
ReactivePlayer,-13135,10,0.522382,0.453510,0.415020,14,6,8,true,1
ReactivePlayer,-19,10,0.378468,0.608789,0.536841,1,0,1,true,1
ReactivePlayer,-100902,10,0.075700,0.930861,0.708202,100,98,2,false,0
ReactivePlayer,-45286,10,0.577954,0.063316,0.493227,46,34,12,true,1
ReactivePlayer,-100794,10,0.002092,0.479219,0.157472,99,99,0,false,0
ReactivePlayer,-9157,10,0.774261,0.560147,0.536464,10,5,5,true,1
