Player Type,Total Score,World Size,Wumpus Probability,Obstacle Probability,Pit Probability,Total Deaths,Pit Deaths,Wumpus Deaths,Have gold,Have gold int
ReasoningPlayer,-9298,5,0.652678,0.007253,0.141125,10,6,4,true,1
ReasoningPlayer,-100000,5,0.663632,0.846656,0.342326,0,0,0,false,0
ReasoningPlayer,980,5,0.204956,0.049180,0.651275,0,0,0,true,1
ReasoningPlayer,-100211,5,0.506127,0.630656,0.948083,100,100,0,false,0
ReasoningPlayer,993,5,0.363348,0.855827,0.092837,0,0,0,true,1
ReasoningPlayer,-10220,5,0.696862,0.203553,0.690231,11,7,4,true,1
ReasoningPlayer,985,5,0.284791,0.095351,0.273656,0,0,0,true,1
ReasoningPlayer,-41,5,0.425049,0.710364,0.940842,1,1,0,true,1
ReasoningPlayer,-1166,5,0.752260,0.461211,0.427155,2,0,2,true,1
ReasoningPlayer,-2046,5,0.824135,0.061549,0.731845,3,1,2,true,1
ReasoningPlayer,-3067,5,0.434898,0.372834,0.918125,4,3,1,true,1
ReasoningPlayer,-100345,5,0.383279,0.224217,0.862547,100,99,1,false,0
ReasoningPlayer,-18,5,0.892986,0.296385,0.853446,1,0,1,true,1
ReasoningPlayer,784,5,0.133309,0.348828,0.186830,0,0,0,true,1
ReasoningPlayer,946,5,0.805016,0.046342,0.397284,0,0,0,true,1
ReasoningPlayer,-1154,5,0.836265,0.787943,0.295398,2,0,2,true,1
ReasoningPlayer,-45,5,0.824375,0.601209,0.599232,1,0,1,true,1
ReasoningPlayer,-100014,5,0.247287,0.769354,0.722359,99,98,1,false,0
ReasoningPlayer,-100002,5,0.134570,0.627762,0.310296,99,99,0,false,0
ReasoningPlayer,-27,5,0.114304,0.647463,0.291825,1,0,1,true,1
ReasoningPlayer,798,5,0.009205,0.254060,0.395986,0,0,0,true,1
ReasoningPlayer,-100412,5,0.021589,0.900056,0.506612,100,100,0,false,0
ReasoningPlayer,-6163,5,0.887657,0.280192,0.365122,7,1,6,true,1
ReasoningPlayer,961,5,0.726587,0.035419,0.116871,0,0,0,true,1
ReasoningPlayer,-20421,5,0.838096,0.257440,0.671574,21,14,7,true,1
ReasoningPlayer,-1062,5,0.966137,0.296920,0.512989,2,1,1,true,1
ReasoningPlayer,-100000,5,0.031485,0.913110,0.064913,0,0,0,false,0
ReasoningPlayer,978,5,0.170882,0.015200,0.107413,0,0,0,true,1
ReasoningPlayer,-2146,5,0.525694,0.633522,0.262668,3,0,3,true,1
ReasoningPlayer,-100527,5,0.399628,0.975569,0.819256,100,100,0,false,0
ReasoningPlayer,-100410,5,0.337010,0.947183,0.986451,100,100,0,false,0
ReasoningPlayer,-100161,5,0.535046,0.600352,0.490612,99,94,5,false,0
ReasoningPlayer,873,5,0.333058,0.651629,0.688003,0,0,0,true,1
ReasoningPlayer,-100000,5,0.236508,0.750051,0.053100,3,0,3,false,0
ReasoningPlayer,-6129,5,0.839322,0.800076,0.527918,7,1,6,true,1
ReasoningPlayer,985,5,0.865105,0.727387,0.458059,0,0,0,true,1
ReasoningPlayer,-100147,5,0.230849,0.779311,0.844624,100,100,0,false,0
ReasoningPlayer,-100546,5,0.041877,0.625501,0.386519,100,100,0,false,0
ReasoningPlayer,-8494,5,0.947851,0.161230,0.246448,9,1,8,true,1
ReasoningPlayer,-169,5,0.306796,0.543716,0.089948,1,0,1,true,1
ReasoningPlayer,-1087,5,0.892316,0.562208,0.904311,2,0,2,true,1
ReasoningPlayer,-96,5,0.568786,0.745972,0.076210,1,0,1,true,1
ReasoningPlayer,964,5,0.642784,0.983911,0.742834,0,0,0,true,1
ReasoningPlayer,-16153,5,0.403501,0.450035,0.865220,17,16,1,true,1
ReasoningPlayer,-1069,5,0.273263,0.795092,0.196162,2,0,2,true,1
ReasoningPlayer,-7358,5,0.415210,0.298174,0.485592,8,7,1,true,1
ReasoningPlayer,983,5,0.234072,0.826962,0.481407,0,0,0,true,1
ReasoningPlayer,-5246,5,0.653180,0.407738,0.478940,6,2,4,true,1
ReasoningPlayer,-18,5,0.998075,0.847453,0.963867,1,1,0,true,1
ReasoningPlayer,-52,5,0.704606,0.265002,0.806336,1,0,1,true,1
ReasoningPlayer,-100000,5,0.293261,0.726510,0.957556,1,0,1,false,0
ReasoningPlayer,985,5,0.490437,0.186988,0.517308,0,0,0,true,1
ReasoningPlayer,-1147,5,0.326561,0.851742,0.082458,2,0,2,true,1
ReasoningPlayer,-5289,5,0.804313,0.009670,0.323232,6,1,5,true,1
ReasoningPlayer,967,5,0.595858,0.169506,0.243469,0,0,0,true,1
ReasoningPlayer,-221,5,0.267025,0.489864,0.213540,1,0,1,true,1
ReasoningPlayer,958,5,0.625764,0.650825,0.109409,0,0,0,true,1
ReasoningPlayer,908,5,0.050130,0.351899,0.035974,0,0,0,true,1
ReasoningPlayer,-100000,5,0.233269,0.976316,0.154645,0,0,0,false,0
ReasoningPlayer,925,5,0.555122,0.235551,0.024443,0,0,0,true,1
ReasoningPlayer,-100410,5,0.014079,0.933482,0.428693,100,100,0,false,0
ReasoningPlayer,-100808,5,0.243294,0.072064,0.764897,100,99,1,false,0
ReasoningPlayer,-1123,5,0.468377,0.978682,0.085342,2,0,2,true,1
ReasoningPlayer,927,5,0.192402,0.740796,0.127881,0,0,0,true,1
ReasoningPlayer,-3127,5,0.181919,0.862701,0.724003,4,3,1,true,1
ReasoningPlayer,-3161,5,0.327656,0.647336,0.524943,4,2,2,true,1
ReasoningPlayer,-18146,5,0.417619,0.302238,0.960583,19,19,0,true,1
ReasoningPlayer,927,5,0.926420,0.068942,0.145438,0,0,0,true,1
ReasoningPlayer,976,5,0.323824,0.721284,0.588575,0,0,0,true,1
ReasoningPlayer,-73,5,0.140215,0.485773,0.953104,1,1,0,true,1
ReasoningPlayer,920,5,0.244935,0.829335,0.745467,0,0,0,true,1
ReasoningPlayer,-20,5,0.298051,0.454592,0.442387,1,0,1,true,1
ReasoningPlayer,984,5,0.641350,0.662754,0.744131,0,0,0,true,1
ReasoningPlayer,-100458,5,0.457267,0.979999,0.919312,99,98,1,false,0
ReasoningPlayer,-46605,5,0.249308,0.028325,0.539473,47,46,1,true,1
ReasoningPlayer,-2076,5,0.529698,0.438528,0.248738,3,1,2,true,1
ReasoningPlayer,962,5,0.994207,0.562757,0.100235,0,0,0,true,1
ReasoningPlayer,-3220,5,0.731285,0.351501,0.139230,4,0,4,true,1
ReasoningPlayer,-100367,5,0.017581,0.789518,0.464108,99,99,0,false,0
ReasoningPlayer,889,5,0.653709,0.168785,0.580452,0,0,0,true,1
ReasoningPlayer,-5185,5,0.989052,0.217160,0.737880,6,4,2,true,1
ReasoningPlayer,-100528,5,0.930238,0.499746,0.639624,100,99,1,false,0
ReasoningPlayer,-7359,5,0.698083,0.205896,0.326635,8,3,5,true,1
ReasoningPlayer,1000,5,0.929931,0.238817,0.519009,0,0,0,true,1
ReasoningPlayer,965,5,0.101002,0.727742,0.847452,0,0,0,true,1
ReasoningPlayer,997,5,0.751415,0.907243,0.302964,0,0,0,true,1
ReasoningPlayer,1000,5,0.428121,0.378260,0.410829,0,0,0,true,1
ReasoningPlayer,-36,5,0.758540,0.442491,0.830393,1,0,1,true,1
ReasoningPlayer,-63,5,0.322333,0.854881,0.691200,1,0,1,true,1
